ninsee,transport_autoroute,transport_départementale,transport_nationale,transport_autres_routes,transport_total_général
77296,1749.7158052758025,10450.914998189655,0,5686.327649896558,17886.95845336202
77297,0,9255.346099496934,0,5917.635797892836,15172.981897389767
77298,0,2984.5172131822337,0,0,2984.5172131822337
77300,0,2983.198125117003,0,1557.4428319198987,4540.640957036902
77301,0,5485.052946127662,4450.830139553737,0,9935.883085681398
77302,0,4494.473223241187,0,2541.04879722531,7035.5220204664965
77303,0,8627.080016009546,0,0,8627.080016009546
77304,0,4898.290916244156,0,0,4898.290916244156
77305,1944.79134017721,16473.45002134292,0,3832.399211763016,22250.640573283144
77306,3529.54333386193,9567.853169857597,0,922.353760860348,14019.750264579874
77307,0,8373.088165369158,0,1296.7206413691251,9669.808806738285
77308,0,9859.038808456757,0,119.405613114258,9978.444421571015
77309,0,4331.671556495669,3244.274675164569,2151.317578870035,9727.263810530274
77310,0,4979.538104976394,0,2156.26964036874,7135.807745345133
77311,0,13262.539425932737,0,4858.9880828993755,18121.52750883211
77312,0,6647.369048817398,0,1018.385043002094,7665.754091819491
77313,0,2444.23318603593,0,2106.30053464317,4550.5337206791
77314,0,9900.146695117135,0,0,9900.146695117135
77315,0,5142.834525024492,0,1604.5868732507888,6747.421398275281
77316,0,33100.97256567269,0,4858.70698438724,37959.679550059926
77317,0,14058.514269105108,0,2123.058655725404,16181.572924830512
77318,0,17728.433204511955,1562.6808215912502,418.5688460137978,19709.682872117
77319,0,5514.47600427993,0,281.930035755789,5796.406040035718
77320,0,9438.354591310726,0,2318.8107333491635,11757.165324659893
77321,0,8761.105660366686,0,1312.726272873754,10073.83193324044
77322,0,7988.6905080935885,0,308.965760316712,8297.656268410301
77323,0,3878.84419073526,0,0,3878.84419073526
77325,0,4751.9863221008545,0,0,4751.9863221008545
77326,0,7001.642948820771,0,2669.1698775716713,9670.812826392443
77327,0,20655.720623880676,0,3905.359019819961,24561.079643700636
77328,0,7357.42064839479,0,3447.466879316364,10804.887527711157
77329,0,9372.463282064125,0,0,9372.463282064125
77330,0,5870.291709962725,0,3895.7428233786777,9766.034533341402
77331,0,1912.5933948081547,0,1695.7654887531316,3608.3588835612863
77332,0,3606.0376721233015,0,48.7758557249794,3654.813527848281
77333,4345.094450145747,11612.75369133922,0,7125.395542048957,23083.243683533925
77335,0,10654.820300442349,5275.9868599223555,0,15930.807160364704
77336,0,5533.144014852523,0,1760.1864911006862,7293.330505953208
77337,762.118055655391,5660.528832929189,1295.7674875481543,9066.985759280353,16785.40013541309
77338,0,4315.045581018476,0,0,4315.045581018476
77339,2601.16705225309,13802.63062350604,0,1959.9786682742167,18363.776344033347
77340,0,10075.923309677552,0,0,10075.923309677552
77341,0,10382.016201963674,0,1072.78036371185,11454.796565675524
77342,0,6099.092066193033,0,0,6099.092066193033
77343,0,11284.397215524075,0,0,11284.397215524075
77344,0,9198.8485864868,1419.42113953414,1491.066276248347,12109.336002269289
77345,0,5898.133022179383,0,2597.092476487241,8495.225498666625
77347,0,13105.407917114508,0,2315.905723028258,15421.313640142766
77348,0,3330.314319064769,0,0,3330.314319064769
77349,0,6539.308094043795,0,3901.1146335306817,10440.422727574476
77350,0,12913.150372925644,4084.07165698752,9528.089308640712,26525.311338553875
